variable_name,preprocessor,mip
mmrso4,preproc_sfc,AERmon
mmrbc,preproc_sfc,AERmon
so2,preproc_sfc,AERmon
rlut,preproc_nolev,Amon
rsut,preproc_nolev,Amon
rsdt,preproc_nolev,Amon
rlutcs,preproc_nolev,Amon
rsutcs,preproc_nolev,Amon
emiso2,preproc_nolev,AERmon
emibc,preproc_nolev,AERmon
drybc,preproc_nolev,AERmon
wetbc,preproc_nolev,AERmon
dryso2,preproc_nolev,AERmon
wetso2,preproc_nolev,AERmon
dryso4,preproc_nolev,AERmon
wetso4,preproc_nolev,AERmon
loadso2,preproc_nolev,Emon
loadso4,preproc_nolev,Emon
loadbc,preproc_nolev,Emon
dms,preproc_sfc,AERmon
cl,preproc_sfc,Amon
clivi,preproc_nolev,Amon
od550aer,preproc_nolev,AERmon
clt,preproc_nolev,Amon
cltc,preproc_nolev,AERmon
srfdms,preproc_nolev,AERmon
