AerChemMIP_category,CF_standard_name,CMOR-3_long_name,CMOR-3_var,CMOR-3_units,CESM_long_name,CESM_var,CESM_units
aermonthly-3d,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Aerosol sulfate mass mixing ratio,mmrso4,kg kg-1,concentration of so4,so4_a1+so4_c1+so4_a2+so4_c2+so4_a3+so4_c3,kg kg-1
aermonthly-3d,mass_fraction_of_seasalt_dry_aerosol_particles_in_air,Sea Salt mass mixing ratio,mmrss,kg kg-1,concentration of sea salt,ncl_a1+ncl_c1+ncl_a2+ncl_c2+ncl_a3+ncl_c3,kg kg-1
aermonthly-3d,mole_fraction_of_sulfur_dioxide_in_air,SO2 volume mixing ratio,so2,mole mole-1,SO2 concentration,SO2,mole mole-1
aermonthly-2d,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,ambient aerosol optical thickness at 550 nm,od550aer,1,Aerosol optical depth 550 nm,AODVIS,1
aermonthly-2d,atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol,sulfate aod@550nm,od550so4,1,Aerosol optical depth 550 nm from SO4,AODSO4,1
aermonthly-2d,atmosphere_optical_thickness_due_to_dust_ambient_aerosol,dust aod@550nm,od550dust,1,Aerosol optical depth 550 nm from dust,AODDUST,1
aermonthly-2d,atmosphere_optical_thickness_due_to_seasalt_ambient_aerosol,sea salt aod@550nm,od550ss,1,Aerosol optical depth 550 nm from seasalt,AODSS,1
aermonthly-2d,toa_outgoing_longwave_flux,toa outgoing longwave radiation,rlut,W m-2,Upwelling longwave flux at top of model,FLUT,W m-2
,,,rlutaf,,,FLUT_d1,
,,,rlutsaf,,,FLUTC_d1,
aermonthly-2d,toa_outgoing_shortwave_flux,toa outgoing shortwave radiation,rsut,W m-2,Upwelling solar flux at top of atmosphere,FSUTOA,W m-2
,,,rsutaf,,,FSUTOA_a1,
aermonthly-3d,eastward_wind,Eastward Wind,ua,m s-1,Zonal wind,U,m s-1
aermonthly-3d,northward_wind,Northward Wind,va,m s-1,Meridional wind,V,m s-1
aermonthly-2d,surface_air_pressure,Surface Air Pressure,ps,Pa,Surface Pressure,PS,Pa
